Date,Day,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Isis
1999-02-16,Tue,5766.80163317,2190.50703479,1587.57535744,903.195818672,367.091465614,394.272875908,312.928798848,302.014317697,248.446208508,144.989418298
1999-02-17,Wed,5771.84822501,2192.10554479,1588.5851874,903.642448062,367.183084486,394.30846797,312.939735607,302.020291254,248.452795311,144.99038416
1999-02-18,Thu,5777.04686564,2193.70448698,1589.59456395,904.089394343,367.2746975,394.344054059,312.950664348,302.026256934,248.459374041,144.991342147
1999-02-19,Fri,5782.39739923,2195.30387048,1590.60346745,904.536668856,367.366310725,394.379640267,312.961591163,302.032220828,248.46595079,144.992298353
1999-02-20,Sat,5787.89770039,2196.90370519,1591.61188141,904.984283719,367.457931011,394.415233462,312.972522924,302.038189809,248.472532429,144.993259649
1999-02-21,Sun,5793.54336255,2198.50399975,1592.61979177,905.432249762,367.549563915,394.450839225,312.98346521,302.044169456,248.479124539,144.994231614
1999-02-22,Mon,5799.32741337,2200.10475989,1593.62718609,905.880574873,367.641212054,394.486460194,312.994420662,302.05016241,248.485729761,144.99521689
1999-02-23,Tue,5805.24008565,2201.70598775,1594.63405344,906.329263354,367.732874457,394.522095419,313.005388331,302.056167721,248.492347144,144.996214526
1999-02-24,Wed,5811.26867538,2203.30768234,1595.64038478,906.778316368,367.824547014,394.55774081,313.01636413,302.062181303,248.498972602,144.997220435
1999-02-25,Thu,5817.39751944,2204.90984076,1596.64617397,907.227733183,367.916223722,394.593390388,313.027342077,302.068197174,248.505600154,144.998228638
1999-02-26,Fri,5823.60812141,2206.51245979,1597.65141873,907.677512744,368.007898251,394.629037841,313.038315864,302.074209026,248.512223493,144.999232825
1999-02-27,Sat,5829.87944522,2208.1155373,1598.65612131,908.127655127,368.099565405,394.664677995,313.049280319,302.080211686,248.518837444,145.000227822
1999-02-28,Sun,5836.18838149,2209.71907334,1599.66028861,908.57816261,368.191222188,394.700307877,313.060232468,302.08620218,248.525439034,145.001210657
1999-03-01,Mon,5842.51037516,2211.32307056,1600.66393168,909.029040144,368.282868278,394.735927182,313.071172009,302.092180207,248.532027962,145.002181028
1999-03-02,Tue,5848.82017355,2212.92753404,1601.66706451,909.48029515,368.374505824,394.771538083,313.082101115,302.09814794,248.538606401,145.003141107
1999-03-03,Wed,5855.09264866,2214.53247048,1602.66970236,909.931936769,368.466138691,394.807144466,313.093023673,302.104109265,248.545178237,145.004094781
1999-03-04,Thu,5861.30362359,2216.13788717,1603.67186009,910.383974807,368.557771417,394.842750889,313.103944241,302.110068741,248.551748029,145.005046608
1999-03-05,Fri,5867.43063681,2217.74379099,1604.67355067,910.836418779,368.649408242,394.878361612,313.114867082,302.11603063,248.558320039,145.00600085
