Timestamp,G.Moon/G.Sun
1922-12-21 12:00,39.46
1923-01-06 12:00,226.391
1923-01-20 12:00,41.587
1923-02-04 12:00,221.098
1923-02-19 12:00,43.118
1923-03-06 12:00,229.628
1923-03-21 12:00,45.221
1923-04-04 12:00,224.531
1923-04-20 12:00,48.842
1923-05-03 12:00,219.276
1923-05-19 12:00,42.753
1923-06-02 12:00,226.59
1923-06-18 12:00,49.957
1923-07-01 12:00,220.206
1923-07-17 12:00,46.153
1923-07-31 12:00,224.819
1923-08-15 12:00,42.679
1923-08-30 12:00,228.168
1923-09-14 12:00,52.77
1923-09-28 12:00,220.105
1923-10-13 12:00,48.603
1923-10-28 12:00,222.893
1923-11-11 12:00,43.162
1923-11-27 12:00,226.233
1923-12-11 12:00,49.36
1923-12-27 12:00,230.81
1924-01-09 12:00,41.136
1924-01-25 12:00,224.616
1924-02-08 12:00,44.141
1924-02-24 12:00,232.328
1924-03-09 12:00,46.375
1924-03-24 12:00,227.991
1924-04-08 12:00,48.722
1924-04-22 12:00,223.906
1924-05-07 12:00,40.927
1924-05-21 12:00,219.715
1924-06-06 12:00,45.085
1924-06-20 12:00,228.392
1924-07-05 12:00,39.178
1924-07-19 12:00,222.736
1924-08-04 12:00,46.156
1924-08-18 12:00,228.341
1924-09-02 12:00,42.013
1924-09-16 12:00,220.818
1924-10-02 12:00,51.445
1924-10-16 12:00,223.769
1924-10-31 12:00,47.316
1924-11-15 12:00,225.809
1924-11-29 12:00,42.139
1924-12-15 12:00,227.827
1924-12-29 12:00,49.244
1925-01-13 12:00,219.566
1925-01-27 12:00,41.831
1925-02-12 12:00,223.992
1925-02-26 12:00,46.374
1925-03-14 12:00,230.867
1925-03-28 12:00,49.84
1925-04-12 12:00,226.596
1925-04-26 12:00,41.669
1925-05-11 12:00,222.888
1925-05-26 12:00,44.792
1925-06-09 12:00,219.286
1925-06-25 12:00,48.292
1925-07-09 12:00,229.058
1925-07-24 12:00,41.643
1925-08-07 12:00,224.314
1925-08-23 12:00,47.248
1925-09-06 12:00,231.23
1925-09-21 12:00,42.1
1925-10-05 12:00,224.001
1925-10-21 12:00,50.02
1925-11-04 12:00,227.165
1925-11-19 12:00,45.336
1925-12-04 12:00,228.831
1925-12-18 12:00,40.116
1926-01-02 12:00,219.373
1926-01-17 12:00,48.066
1926-02-01 12:00,221.29
1926-02-15 12:00,41.782
1926-03-03 12:00,224.772
1926-03-17 12:00,48.132
1926-04-02 12:00,230.463
1926-04-15 12:00,40.955
1926-05-01 12:00,225.714
1926-05-15 12:00,45.375
1926-05-30 12:00,221.831
1926-06-14 12:00,48.914
1926-06-29 12:00,232.084
1926-07-13 12:00,41.385
1926-07-28 12:00,228.909
1926-08-12 12:00,45.03
1926-08-26 12:00,224.994
1926-09-11 12:00,49.311
1926-09-24 12:00,219.906
1926-10-10 12:00,42.894
1926-10-24 12:00,226.17
1926-11-09 12:00,48.881
1926-11-23 12:00,229.863
1926-12-08 12:00,43.345
1926-12-22 12:00,220.623
1927-01-07 12:00,51.371
1927-01-21 12:00,222.253
1927-02-05 12:00,46.354
1927-02-20 12:00,223.996
1927-03-06 12:00,41.092
1927-03-22 12:00,226.729
1927-04-05 12:00,48.988
1927-04-20 12:00,219.709
1927-05-04 12:00,42.851
1927-05-20 12:00,225.775
1927-06-03 12:00,48.627
1927-06-18 12:00,221.437
1927-07-02 12:00,41.645
1927-07-18 12:00,231.206
1927-08-01 12:00,45.684
1927-08-16 12:00,228.25
1927-08-31 12:00,48.97
1927-09-14 12:00,224.666
1927-09-29 12:00,41.145
1927-10-13 12:00,219.905
1927-10-29 12:00,44.353
1927-11-12 12:00,226.993
1927-11-28 12:00,48.585
1927-12-11 12:00,219.332
1927-12-27 12:00,42.148
1928-01-10 12:00,222.982
